game_month,game_day,game_week,game_time,game_vs,seat_group,seat_block,seat_col,seat_no,seat_set_no,ticket_price,check_ticket
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,1,3,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,1,4,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,1,5,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,1,6,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,1,7,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,1,8,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,1,9,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,1,10,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,2,3,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,2,4,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,2,5,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,2,6,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,2,7,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,2,8,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,2,9,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,2,10,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,3,3,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,3,4,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,3,5,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,3,6,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,3,7,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,3,8,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,3,9,0,40000,0
5,6,±›,18:30,ªÔº∫,¡ﬂæ”≈π¿⁄ºÆ,21,3,10,0,40000,0
